(42.50,-83.53)
(39.10,-78.17)
(35.63,-78.86)
(51.91,4.33)
(39.0,-84.9)
(34.94,-86.71)
(52.00,5.95)
(40.4,-74.1)
(52.1,4.4)
(38.9,-77.1)
(38.73,-90.59)
(40.52,-88.99)
(51.8,-0.7)
(38.5,-77.4)
(50.76,-1.77)
(38.7,-77.0)
(39.27,-76.81)
